metric,n,n_tools,n_benchmarks,mean_simulated,mean_real,median_simulated,median_real,beta_real_vs_simulated,ci_low,ci_high,p_value,group_var,converged
F1,318,45,10,0.7101068550834994,0.4245355308722309,0.7825345867206333,0.3791761566198789,-0.30485605974866464,-0.3444647678683025,-0.2652473516290268,2.025345485237975e-51,0.013719364056434235,True
Precision,321,45,10,0.7861764256433502,0.4510244368712268,0.8625,0.4150943396226415,-0.3851796365621077,-0.43061950727843146,-0.3397397658457839,5.518331405123778e-62,0.011952161212115944,True
Recall,364,48,11,0.6800880230880231,0.526647913860567,0.73,0.5571428571428572,-0.1723587115303159,-0.2202628584758216,-0.12445456458481018,1.7644831027086249e-12,0.014895470156276893,True
