observation_id,Benchmark,doi,Dataset,DatasetNumber,DatasetType,DatasetOrigin,run,ToolReported,Tool,tool_family,tool_version,TP,FP,TP_plus_FP,TruthTotal,Recall,Precision,F1,FN_reported,FN_recalculated,precision_recalculated,recall_recalculated,f1_recalculated,execution_time_h,memory_usage,time_ranking_in_set,Read_length,number_of_reads,has_f1,has_precision_recall,Is_Edgren,Benchmark_purpose,new_tool,FN,Is_Edgren_Binary,Benchmark_label
OBS0159,6,https://doi.org/10.1186/s12864-018-5156-1,Dataset6.1,6.1,real,Real,,JAFFA,JAFFA,JAFFA,,20.0,22.0,42.0,27.0,0.7407407407407407,0.4761904761904761,0.5797101449275363,,7.0,0.47619047619047616,0.7407407407407407,0.5797101449275363,,,,50.0,28000000.0,True,True,True,new_tool,"yes, FuSeq",7.0,yes,B6 / Dataset6.1
OBS0160,6,https://doi.org/10.1186/s12864-018-5156-1,Dataset6.2,6.2,real,Real,run 3,FuSeq,FuSeq,FuSeq,,22.0,31.0,53.0,99.0,0.2222222222222222,0.4150943396226415,0.2894736842105263,,77.0,0.41509433962264153,0.2222222222222222,0.2894736842105263,,,,50.0,28000000.0,True,True,True,new_tool,"yes, FuSeq",77.0,yes,B6 / Dataset6.2
OBS0161,6,https://doi.org/10.1186/s12864-018-5156-1,Dataset6.2,6.2,real,Real,,FusionMap,FusionMap,FusionMap,,22.0,25.0,47.0,99.0,0.2222222222222222,0.4680851063829787,0.3013698630136986,,77.0,0.46808510638297873,0.2222222222222222,0.3013698630136986,,,,50.0,28000000.0,True,True,True,new_tool,"yes, FuSeq",77.0,yes,B6 / Dataset6.2
OBS0163,6,https://doi.org/10.1186/s12864-018-5156-1,Dataset6.2,6.2,real,Real,,TopHat-Fusion,TopHat-Fusion,TopHat-Fusion,,35.0,226.0,261.0,99.0,0.3535353535353535,0.1340996168582375,0.1944444444444444,,64.0,0.13409961685823754,0.35353535353535354,0.19444444444444445,,,,50.0,28000000.0,True,True,True,new_tool,"yes, FuSeq",64.0,yes,B6 / Dataset6.2
OBS0164,6,https://doi.org/10.1186/s12864-018-5156-1,Dataset6.2,6.2,real,Real,,SOAPfuse,SOAPfuse,SOAPfuse,,41.0,20.0,61.0,99.0,0.4141414141414141,0.6721311475409836,0.5125,,58.0,0.6721311475409836,0.41414141414141414,0.5125,,,,50.0,28000000.0,True,True,True,new_tool,"yes, FuSeq",58.0,yes,B6 / Dataset6.2
OBS0165,6,https://doi.org/10.1186/s12864-018-5156-1,Dataset6.2,6.2,real,Real,,JAFFA,JAFFA,JAFFA,,28.0,14.0,42.0,99.0,0.2828282828282828,0.6666666666666666,0.3971631205673758,,71.0,0.6666666666666666,0.2828282828282828,0.39716312056737585,,,,50.0,28000000.0,True,True,True,new_tool,"yes, FuSeq",71.0,yes,B6 / Dataset6.2
OBS0258,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.6,7.6,real,Real,run 3,Arriba,Arriba,Arriba,,22.005000000000003,135.17357142857145,157.17857142857144,27.0,0.8150000000000001,0.14,0.2389528795811518,,4.994999999999997,0.14,0.8150000000000001,0.23895287958115186,,,,50.0,21500000.0,True,True,True,independent_comparison,no,4.994999999999997,yes,B7 / Dataset7.6
OBS0259,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.6,7.6,real,Real,,FuSeq,FuSeq,FuSeq,,21.006,63.018,84.024,27.0,0.778,0.25,0.3784046692607004,,5.994,0.25,0.778,0.3784046692607004,,,,50.0,21500000.0,True,True,True,independent_comparison,no,5.994,yes,B7 / Dataset7.6
OBS0260,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.6,7.6,real,Real,,InFusion,InFusion,InFusion,,19.008000000000003,42.30812903225807,61.316129032258075,27.0,0.7040000000000001,0.31,0.4304536489151874,,7.991999999999997,0.31,0.7040000000000001,0.4304536489151874,,,,50.0,21500000.0,True,True,True,independent_comparison,no,7.991999999999997,yes,B7 / Dataset7.6
OBS0262,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.6,7.6,real,Real,,STAR-Fusion,STAR-Fusion,STAR-Fusion,,22.005000000000003,51.345000000000006,73.35000000000001,27.0,0.8150000000000001,0.3,0.4385650224215247,,4.994999999999997,0.3,0.8150000000000001,0.4385650224215247,,,,50.0,21500000.0,True,True,True,independent_comparison,no,4.994999999999997,yes,B7 / Dataset7.6
OBS0264,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.6,7.6,real,Real,,EricScript,EricScript,EricScript,,16.011,107.15053846153846,123.16153846153846,27.0,0.593,0.13,0.2132503457814661,,10.989,0.13,0.593,0.21325034578146615,,,,50.0,21500000.0,True,True,True,independent_comparison,no,10.989,yes,B7 / Dataset7.6
OBS0265,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.6,7.6,real,Real,,FusionCatcher,FusionCatcher,FusionCatcher,,20.007,24.453,44.46,27.0,0.741,0.45,0.5599496221662469,,6.9929999999999986,0.45,0.7410000000000001,0.559949622166247,,,,50.0,21500000.0,True,True,True,independent_comparison,no,6.9929999999999986,yes,B7 / Dataset7.6
OBS0268,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.6,7.6,real,Real,,JAFFA,JAFFA,JAFFA,,17.01,68.03999999999999,85.05,27.0,0.63,0.2,0.3036144578313253,,9.989999999999998,0.20000000000000004,0.63,0.30361445783132535,,,,50.0,21500000.0,True,True,True,independent_comparison,no,9.989999999999998,yes,B7 / Dataset7.6
OBS0269,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.6,7.6,real,Real,,ChimPipe,ChimPipe,ChimPipe,,18.009,42.021,60.03,27.0,0.667,0.3,0.4138572905894518,,8.991,0.3,0.667,0.41385729058945186,,,,50.0,21500000.0,True,True,True,independent_comparison,no,8.991,yes,B7 / Dataset7.6
OBS0270,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.6,7.6,real,Real,,SOAPfuse,SOAPfuse,SOAPfuse,,20.007,97.68123529411764,117.68823529411765,27.0,0.741,0.17,0.2765532381997804,,6.9929999999999986,0.17,0.7410000000000001,0.27655323819978045,,,,50.0,21500000.0,True,True,True,independent_comparison,no,6.9929999999999986,yes,B7 / Dataset7.6
OBS0271,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.6,7.6,real,Real,,TopHat-Fusion,TopHat-Fusion,TopHat-Fusion,,11.988,27.972,39.96,27.0,0.444,0.3,0.3580645161290322,,15.012,0.3,0.444,0.35806451612903223,,,,50.0,21500000.0,True,True,True,independent_comparison,no,15.012,yes,B7 / Dataset7.6
OBS0272,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.6,7.6,real,Real,,INTEGRATE,INTEGRATE,INTEGRATE,,16.011,34.023375,50.034375,27.0,0.593,0.32,0.4156845564074479,,10.989,0.32,0.593,0.41568455640744795,,,,50.0,21500000.0,True,True,True,independent_comparison,no,10.989,yes,B7 / Dataset7.6
