metric,n,n_tools,n_benchmarks,mean_simulated,mean_real,median_simulated,median_real,beta_real_vs_simulated,ci_low,ci_high,p_value,group_var,converged
F1,251,45,10,0.7101068550834994,0.4642253783385752,0.7825345867206333,0.455,-0.3418827687801599,-0.39079441191715575,-0.292971125643164,1.0185636045760721e-42,0.015919677530172257,True
Precision,254,45,10,0.7861764256433502,0.5134062898553158,0.8625,0.5,-0.41183151452060174,-0.4654957163098357,-0.35816731273136776,3.942316297125785e-51,0.01310397572750387,True
Recall,295,48,11,0.6800880230880231,0.5322282122383504,0.73,0.5894545454545455,-0.1959358081645255,-0.2538222624296286,-0.1380493538994224,3.263890080461604e-11,0.012690823580299732,True
