observation_id,Benchmark,doi,Dataset,DatasetNumber,DatasetType,DatasetOrigin,run,ToolReported,Tool,tool_family,tool_version,TP,FP,TP_plus_FP,TruthTotal,Recall,Precision,F1,FN_reported,FN_recalculated,precision_recalculated,recall_recalculated,f1_recalculated,execution_time_h,memory_usage,time_ranking_in_set,Read_length,number_of_reads,has_f1,has_precision_recall,Is_Edgren,source_file,source_sheet,Benchmark_purpose,new_tool,FN,Is_Edgren_Binary
OBS0015,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,ChimeraScan,ChimeraScan,ChimeraScan,,416.0,84.0,,500.0,0.83,0.83,0.83,,84.0,0.832,0.832,0.832,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",84.0,no
OBS0016,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,JAFFA-Hybrid,JAFFA-Hybrid,JAFFA,,360.0,10.0,,500.0,0.72,0.97,0.8265088757396449,,140.0,0.972972972972973,0.72,0.8275862068965518,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",140.0,no
OBS0017,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,SOAPfuse,SOAPfuse,SOAPfuse,,344.0,2.0,,500.0,0.69,0.99,0.8132142857142857,,156.0,0.9942196531791907,0.688,0.8132387706855791,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",156.0,no
OBS0018,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,TrinityFusion-UC,TrinityFusion-UC,TrinityFusion,,332.0,1.0,,500.0,0.66,1.0,0.7951807228915663,,168.0,0.996996996996997,0.664,0.7971188475390156,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",168.0,no
OBS0019,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,EricScript,EricScript,EricScript,,343.0,31.0,,500.0,0.69,0.92,0.7885714285714287,,157.0,0.9171122994652406,0.686,0.7848970251716247,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",157.0,no
OBS0020,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,JAFFA-Assembly,JAFFA-Assembly,JAFFA,,333.0,68.0,,500.0,0.67,0.83,0.7414666666666667,,167.0,0.830423940149626,0.666,0.7391786903440623,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",167.0,no
OBS0021,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,PRADA,PRADA,PRADA,,278.0,1.0,,500.0,0.56,1.0,0.717948717948718,,222.0,0.996415770609319,0.556,0.7137355584082158,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",222.0,no
OBS0022,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,ChimPipe,ChimPipe,ChimPipe,,281.0,2.0,,500.0,0.56,0.99,0.7153548387096774,,219.0,0.9929328621908127,0.562,0.7177522349936143,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",219.0,no
OBS0023,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,TrinityFusion-D,TrinityFusion-D,TrinityFusion,,200.0,2.0,,500.0,0.4,0.99,0.5697841726618704,,300.0,0.9900990099009901,0.4,0.5698005698005699,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",300.0,no
OBS0024,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,FusionHunter,FusionHunter,FusionHunter,,183.0,5.0,,500.0,0.37,0.97,0.5356716417910449,,317.0,0.973404255319149,0.366,0.5319767441860465,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",317.0,no
