term,beta,ci_low,ci_high,p_value,n,n_tools,n_benchmarks,converged
Read_length[T.75],0.2393737461782375,0.1614078714039709,0.3173396209525041,1.7707141677947356e-09,223,34,7,True
Read_length[T.50],0.01515334021554566,-0.03995063106424626,0.07025731149533758,0.5898998705657901,223,34,7,True
