Read_length,count,mean,median,std
50,96,0.5277913000927531,0.522946017575673,0.2804463809040318
75,41,0.5904561293874134,0.6723595505617979,0.21642948151405786
100,86,0.5750895895676216,0.7318956639566395,0.3274576252213369
