subset,n,pearson_r,pearson_p,spearman_rho,spearman_p
all,324,0.3349647733952438,6.184068918081848e-10,0.28995699709031114,1.0745723771660315e-07
without_edgren,257,0.3524128682795482,6.265437738363405e-09,0.2480702627850628,5.807329134778831e-05
real,164,0.12583303207813196,0.10838125234200428,0.12656674365301726,0.10632175482976111
real_without_edgren,97,0.16321682697525752,0.11017839214696155,0.13538503553488315,0.1861019155531075
simulated,154,0.4453147012350832,7.171061968645374e-09,0.27806439407901484,0.00047996602665253664
